City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
171,La Ronge,55.1001,-105.2842,32.25,64,75,6.91,CA,2022-03-31 15:50:02,broken clouds
172,Steamboat Springs,40.485,-106.8317,36.9,74,0,1.01,US,2022-03-31 15:47:27,clear sky
173,Namibe,-15.1961,12.1522,75.83,69,20,20.71,AO,2022-03-31 15:50:03,few clouds
174,Poum,-20.2333,164.0167,80.83,79,10,5.82,NC,2022-03-31 15:50:04,clear sky
175,Ponta Do Sol,32.6667,-17.1,68.13,73,40,0.89,PT,2022-03-31 15:49:25,scattered clouds
176,Mulchen,-37.7167,-72.2333,57.06,25,2,8.05,CL,2022-03-31 15:50:05,clear sky
177,Ilulissat,69.2167,-51.1,17.62,93,100,2.3,GL,2022-03-31 15:49:50,mist
178,Cambrils,41.0748,1.0524,63.1,41,20,19.57,ES,2022-03-31 15:50:05,few clouds
179,Sao Joao Da Barra,-21.6403,-41.0511,89.69,69,15,8.16,BR,2022-03-31 15:50:06,few clouds
180,Ca Mau,9.1769,105.15,80.1,82,99,2.64,VN,2022-03-31 15:50:06,overcast clouds
181,Aljojuca,19.1,-97.5167,68.68,17,13,8.68,MX,2022-03-31 15:50:07,few clouds
182,Kirkuk,35.4681,44.3922,70.39,26,0,8.68,IQ,2022-03-31 15:50:07,clear sky
183,Bandarbeyla,9.4942,50.8122,81.1,80,5,11.68,SO,2022-03-31 15:50:07,clear sky
184,Pulandian,39.3953,121.9669,39.56,43,0,11.59,CN,2022-03-31 15:51:08,clear sky
185,Tagusao,9.1924,117.8141,79.61,81,4,4.45,PH,2022-03-31 15:51:09,clear sky
186,Tongren,27.7172,109.1853,53.08,89,100,6.96,CN,2022-03-31 15:51:09,overcast clouds
187,Tiksi,71.6872,128.8694,0.12,99,100,6.04,RU,2022-03-31 15:51:10,overcast clouds
188,Ziro,27.6333,93.8333,52.03,98,100,1.19,IN,2022-03-31 15:51:10,overcast clouds
189,Arraial Do Cabo,-22.9661,-42.0278,84.16,74,0,14.97,BR,2022-03-31 15:51:10,clear sky
190,Chor,25.5167,69.7667,92.14,4,0,6.69,PK,2022-03-31 15:51:11,clear sky
191,Zyryanka,65.75,150.85,-5.39,96,100,8.57,RU,2022-03-31 15:51:11,overcast clouds
192,Kruisfontein,-34.0033,24.7314,65.88,77,100,7.18,ZA,2022-03-31 15:51:11,light rain
193,Miri,4.4148,114.0089,73.54,94,40,3.44,MY,2022-03-31 15:47:02,scattered clouds
194,Cerritos,33.8583,-118.0648,61.32,82,75,4.61,US,2022-03-31 15:48:28,broken clouds
195,Kaohsiung,22.6163,120.3133,75.15,83,75,5.75,TW,2022-03-31 15:49:25,mist
196,Kodiak,57.79,-152.4072,38.71,100,100,19.57,US,2022-03-31 15:51:12,light rain
197,Astana,51.1801,71.446,31.95,86,0,4.47,KZ,2022-03-31 15:51:12,clear sky
198,Wahiawa,21.5028,-158.0236,70.86,84,0,3.44,US,2022-03-31 15:51:12,clear sky
199,Walvis Bay,-22.9575,14.5053,76.15,53,7,12.66,NA,2022-03-31 15:51:13,clear sky
200,Virginia Beach,36.8529,-75.978,73.02,71,100,7.0,US,2022-03-31 15:47:44,overcast clouds
201,Upernavik,72.7868,-56.1549,19.8,92,100,12.5,GL,2022-03-31 15:51:13,overcast clouds
202,Yerbogachen,61.2767,108.0108,23.29,92,40,10.71,RU,2022-03-31 15:51:13,scattered clouds
203,Esperance,-33.8667,121.9,66.04,81,100,19.71,AU,2022-03-31 15:51:14,overcast clouds
204,Chuy,-33.6971,-53.4616,66.09,39,32,10.09,UY,2022-03-31 15:51:14,scattered clouds
205,Los Llanos De Aridane,28.6585,-17.9182,64.15,82,75,12.66,ES,2022-03-31 15:51:14,broken clouds
206,Lianran,24.9227,102.485,43.34,83,96,8.63,CN,2022-03-31 15:51:15,overcast clouds
207,Bengkulu,-3.8004,102.2655,76.82,82,75,6.13,ID,2022-03-31 15:50:58,broken clouds
208,West Lafayette,40.4259,-86.9081,41.11,84,100,14.97,US,2022-03-31 15:47:56,overcast clouds
209,Kavieng,-2.5744,150.7967,81.81,78,100,16.26,PG,2022-03-31 15:51:15,moderate rain
210,Aswan,24.0934,32.907,99.7,6,12,6.91,EG,2022-03-31 15:51:15,few clouds
211,Belaya Gora,68.5333,146.4167,-24.11,100,97,0.2,RU,2022-03-31 15:50:22,overcast clouds
212,Egvekinot,66.3167,-179.1667,5.23,90,99,15.32,RU,2022-03-31 15:51:16,overcast clouds
213,Padang,-0.9492,100.3543,76.93,85,14,3.8,ID,2022-03-31 15:51:16,few clouds
214,Chernyshevskiy,63.0128,112.4714,25.93,91,100,11.34,RU,2022-03-31 15:51:17,overcast clouds
215,Cedar City,37.6775,-113.0619,48.4,70,40,8.05,US,2022-03-31 15:51:17,scattered clouds
216,Bethanien,-26.502,17.1583,86.4,21,20,20.45,NA,2022-03-31 15:51:17,few clouds
217,Nome,64.5011,-165.4064,28.47,46,0,18.41,US,2022-03-31 15:50:37,clear sky
218,Saint Anthony,45.0205,-93.218,32.31,70,100,19.57,US,2022-03-31 15:51:17,overcast clouds
219,Narsaq,60.9167,-46.05,39.18,68,96,3.51,GL,2022-03-31 15:51:18,overcast clouds
220,Kieta,-6.2167,155.6333,79.03,83,81,2.71,PG,2022-03-31 15:51:18,broken clouds
221,Comonfort,20.7167,-100.7667,76.21,16,5,6.08,MX,2022-03-31 15:51:18,clear sky
222,Aykhal,66.0,111.5,22.62,97,100,9.51,RU,2022-03-31 15:51:19,overcast clouds
223,Port Hedland,-20.3167,118.5667,82.45,83,53,5.75,AU,2022-03-31 15:51:19,broken clouds
224,Ulladulla,-35.35,150.4667,58.77,79,92,21.99,AU,2022-03-31 15:51:19,light rain
225,Viransehir,37.2353,39.7631,58.1,46,17,2.46,TR,2022-03-31 15:51:20,few clouds
226,Booue,-0.0921,11.9385,79.09,85,97,1.5,GA,2022-03-31 15:51:20,light rain
227,Xinzhou,38.4092,112.7333,42.89,24,27,5.55,CN,2022-03-31 15:51:20,scattered clouds
228,Solnechnyy,50.7214,136.6319,16.92,96,100,2.73,RU,2022-03-31 15:51:21,overcast clouds
229,Morro Bay,35.3658,-120.8499,53.85,85,52,3.0,US,2022-03-31 15:51:21,broken clouds
230,Luderitz,-26.6481,15.1594,69.33,61,0,26.22,NA,2022-03-31 15:52:21,clear sky
231,Michigan City,41.7075,-86.895,38.25,95,100,11.5,US,2022-03-31 15:48:05,light intensity drizzle
232,High Level,58.5169,-117.136,28.51,93,100,9.22,CA,2022-03-31 15:52:22,light snow
233,Korla,41.7597,86.1469,51.31,37,0,4.29,CN,2022-03-31 15:52:22,clear sky
234,Paita,-5.0892,-81.1144,74.53,73,98,8.75,PE,2022-03-31 15:52:22,overcast clouds
235,College,64.8569,-147.8028,12.52,52,75,6.91,US,2022-03-31 15:52:23,broken clouds
236,Sitka,57.0531,-135.33,37.29,87,75,6.91,US,2022-03-31 15:52:23,broken clouds
237,Daye,30.0833,114.95,53.65,82,100,0.63,CN,2022-03-31 15:52:23,overcast clouds
238,Manta,-0.95,-80.7333,80.38,83,75,4.61,EC,2022-03-31 15:52:23,broken clouds
239,Valdivia,-39.8142,-73.2459,55.49,47,79,4.92,CL,2022-03-31 15:52:24,broken clouds
240,Wanning,18.8003,110.3967,74.91,94,100,5.08,CN,2022-03-31 15:52:24,overcast clouds
241,Camacha,33.0833,-16.3333,60.22,72,75,12.66,PT,2022-03-31 15:52:24,broken clouds
